continent,country,notes
ASIA,Formosa (Taiwan),"Until 1896, Taiwan was a Chinese province. It became a Japanese colony in 1896, and thus, in our definition, a trading polity, after the treaty of Shimonoseki. We use the figures from Birnberg-Resnick (1975 tab A41)[42].  We deflate the series with the indexes by Mizoguchi (1974). We prefer it to the index by Birnberg-Resnick (1975 tab. A41) as this latter takes into account fewer goods and covers a shorter period – 1906-1936 for imports and 1900-1936 for exports. Anyway, these two indexes are almost identical, with coefficients of correlation 0.96 (imports) and 0.94 (exports) in levels and 0.93 and 0.89 in first differences. In theory, we should estimate trade at 1913 borders by adding the commerce between China and Taiwan before 1896, which would have been international trade after 1896. We omit this correction because we have no data on this flow."
ASIA,[polity 1800 1938],"The series is based on French sources, France (Colonies). Statistical Yearbook (several years) for 1835-1881 and France.Statistical Yearbook (ad annum) thereafter, supplemented for few years with data from the United Kingdom (foreign countries) Statistical Yearbook (ad annum) and Von Neumann-Spallart.[43]  The series is then extrapolated backwards to 1830 with the series of trade of British India. [44] We deflate the series with the price index for British India, adjusting for the movement of the exchange rate between French Franc and British pound."
ASIA,French Indochina,"The French colonial authorities started to collect data on foreign trade of Indochina in 1877 publishing them in the France (Colonies). Statistical Yearbook and, since 1884, in France. Statistical Yearbook.[45]  Before 1907, the figures, which are reproduced also by Mitchell (2007), exclude bullion but include transit.  We compute this latter before 1907 by multiplying total trade by the ratio special/general – a simple linear interpolation between the share in the late 1870s (less than 2%) and in 1907 (about 20% of general imports and 13% of exports) in the mid-1900s. The League of Nation, Review (1938)  publishes an index of prices for for 1925- 1937: we extrapolate it forwards to 1938 and backwards to 1877 with Federico-Tena indexes.   Finally we assume that from 1850 to 1876 per capita trade at constant prices remained constant and we obtain the corresponding series at current prices by reflating the series with Federico-Tena price indexes."
ASIA,India,"The East India Company started to register trade of its Indian domains very early. Chaudhuri (1982) reports data on trade for Bengal, from 1795/96 to 1803/04 (imports) or to 1805/06 (exports) and from 1812/13 to 1827/28 (tab. 10.3A), for Bengal, Madras and Bombay from 1828/29 to 1833/34 (tab. 10.5) and for the whole British India since 1834/35 (tab. 10.7). All these series are in rupees, a silver currency, but the United Kingdom (colonies). Statistical Yearbook (ad annum) conveniently reports the same series in pounds since 1850/51. Thus, sources are abundant, but they need some adjustments. In fact, all data refer to fiscal years, ending March 30th, and, while they exclude bullion, they exclude also trade via land frontiers (e.g. with Afghanistan and Iran), trade of native states (not formally part of British India) and, after 1937/38, trade of Burma.[46]  On the other hand, according to the Anglo-Saxon definition of trade, they include transit.  In particular: i) we add land trade, which the Indian customs recorded from 1876/77 to 1924/1925  [47]. We estimate land trade in the other years as fixed shares of sea trade –  10% for imports and 6% for exports until 1875/76 (as in the late 1870s) and 6% and 5%  since 1925/26 (as in the early 1920s). ii) we add an estimate of the trade of native states. The United Kingdom (colonies). Statistical Yearbook reports that in 1937/38 and 1938/39, it amounted to about 2.5% of commerce of British India. The percentage may seem too low, as the native states accounted for between a fifth and a quarter of the population of British India (Sivasubramonian 2000 tab.1.2).  However, the data refer explicitly to the two only native maritime states, Travancore and Kathiawar.  We infer that all the sea-born trade of the other states flowed through ports of British (or Portuguese, or French) India, and thus was captured by trade statistics of other Indian polities. We thus increase trade of British India by 3% from 1850/51 onwards all over the period. iii) We add the (sea-borne) trade of Burma, net of trade with British India, in 1937/38 and 1938/39, with data from Statistic Yearbook India. iv) Finally, we subtract re-exports from both imports and exports (in the same year). The Unite kingdom (colonies) Statistical Yearbooks. reports them separately in 1913/1914 and since 1922/1923, while in the missing years we compute them as exports times the share of re-exports. We obtain this latter from 1914/15 to 1921/22 by linear interpolation, while we assume it to have remained stable at 2% of exports until 1912/1913. Then we extend our series to 1799/1800 with the data for EIC territories from Chaudhuri (1982), implicitly assuming that these latter shared trends in trade with the rest of India. We convert Chaudhuri’s figures from rupees to pounds with the series pieced together from different sources by Chilosi and Federico (2013). We fill the gap in the early 1800s with a TRAMO interpolation. Last but not least, we convert the whole series from 1799/1800 onwards from fiscal to calendar years by assuming trade to have been equally distributed in the year. As a last step, we have to deflate the series at current prices. As far as we know, there are five (sets of) prices indexes, by Williamson (2003) for 1800-1850, Chaudhuri (1982 tab 11.A1) from 1861 to 1947, Birnberg-Resnick (1975 Tab A 25) for 1880-1936, Blattman et al (2007) for 1861-1939, exports only, and by the Indian statistical office from 1923/24 onwards (League of Nations, Review 1938).   Williamson (2003) and Blattman et al (2007) build a Laspeyres price index with British prices.  Both Chaudhuri and Birnberg and Resnick use Indian prices, but we prefer the latter. In fact, it is a Fisher index for 48 products on the import side and 50 on the export side, while Chaudhuri is a simple un-weighted average of indexes for 28 imported goods and 11 exported ones. We extrapolate the series to 1938 with the index of the Indian Statistical office and to 1800 with Federico-Tena indexes. [48]"
ASIA,Iraq,"Our main source is the Trade statistics Iraq, which report data, in dinar, for 1921-1927 and 1932-1938. We convert the data in calendar years, subtract re-exports and compute the shares of trade with other former Ottoman territories.[49]  We fill the gap for the period 1928-1931 with data from Mitchell (2007). We convert from dinar in dollar with data from the GlobalFinancialData until 1929, and from the League of Nations (1933-38), thereafter. We deflate with Federico-Tena price indexes."
ASIA,Korea,"We use the series, at current and constant prices by Park and Kim (2009).[50] Their baseline estimate, which relies on official trade statistics, starts in 1884.  Korea had opened to world trade few years earlier, in 1876, by signing a trade treaty with Japan.  We extend the series to 1877 by extrapolating the baseline estimate with the “alternative” one by the same authors, based on a number of different sources, and we assume that trade in 1876 was half its 1877 level."
ASIA,Japan,"Japan (1979) The Historical statistics of Japan reports series of trade at current prices since 1868 and at constant prices since 1874  (Vol III, tab 10.3 and 10.1), as well as series of exchange rate yen/dollar since 1874  ((vol III tab.10-11-a).[51] We extrapolate the series of trade at current prices to 1860, the year after the opening of Japan, with the series from Mitchell (2007), which refer to Yokohama, Nagasaki and Hakodate only, and we extrapolate the exchange rate with the price of silver in dollar from Jastram (1981).[52]  Finally, we deflate the series at current prices in 1860-1873 with Federico-Tena price indexes."
ASIA,[polity 1932-1938],"League of Nations (1933-38), reports data of trade for Japanese-controlled Manchuria onwards, in yuan, separately for trade with (mainland) China and with all other polities, as well as data for re-exports until 1935.[53]   We estimate these latter in 1936-1938 assuming the share on total exports to have remained constant at their 1932-1935 average.  We convert in dollars with the exchange rates from League ogf Nations (1933-38) Review of World Trade, using the gold content of the yuan relative to the dollar as proxy for the exchange rate in 1913, which we need in order to estimate trade at constant (1913) prices. We deflate import with the index for (mainland) China, and exports with a Federico-Tena index."
ASIA,Nepal,"The Kingdom of Nepal remained formally independent throughout the period, but there is no data whatsoever on its trade before 1938. We thus assume that in 1936-1938 per capita imports and exports was about a third of imports and exports of Afghanistan (as in the 1950s and 1960s) and we let them move as import per capite of Afghanistan. We obtain the series at constant prices by multiplying by the population and we reflate it with the price index for Afghanistan."
ASIA,Ottoman Empire/Turkey,"Given the poor quality of the Ottoman trade statistics, Pamuk (1987 tab A.1.1) estimates trade at current prices from 1830 to 1913 by summing up the trade with the Empire from the statistics of neighbouring countries (Bulgaria, Romania etc.), of major Western countries (United Kingdom, France etc.) and the USA. After the war, we use the series from the Turkey Statistics yearbook Turkey, equal to Mitchell (2007). They start in 1923:  we assume arbitrarily that trade in 1922, a year of war and political turmoil, was 80% of the commerce in the following year. The Pamuk series are in pound, while we convert the post-war figures from Turkish liras to dollar with the rates from the Germany Statistical Yearbook (1924-25) for 1922  and from Gormez and Yigit (2014 series TR3D_A) from 1923 to 1937. We deflate the figures for 1854-1913 with the Fisher price indexes by Pamuk (1987 tab. A.2.1). We extrapolate this index to 1850 for imports and to 1830 for exports with Federico-Tena indexes and we deflate with (different) Federico-Tena indexes also the post-war series. The Ottoman Empire has been spawning new polities throughout the period – Greece in 1832,  Romania in 1859, Bulgaria, Cyprus and perhaps Montenegro in 1879, Crete in 1898, Libya and the Dodecanese (islands in the Aegean sea), seized by Italy, in 1912, Albania in 1913 and Syria/Lebanon, Palestine/Jordan, Irak and the states of Arabian peninsula in 1918.[1]  These changes have to be handled differently to estimate trade at 1913 boundaries before and after World War One.  Before 1913, our series of trade at current borders include trade between the Empire and the new polities after they became independent, but it exclude the same flows while the new polities still belonged to the Empire. Vice-versa, the total (Turkish) trade statistics after 1918 include the commerce with the lost territories, which was still domestic trade before the war. Therefore, we could get series at 1913 borders before the war by adding (an estimate of) the bilateral trade with the new polities before their independence, while after the war we must subtract the bilateral commerce.  Unfortunately, we have no data on bilateral trade between the Empire and the new polities in any pre-war year. We thus crudely estimate these flows before the independence as the population of the new polities times a tenth of the trade per capita of the Empire in the same years.[2]  The coefficient implies that domestic trade equivalent to 10% of total Ottoman trade (scaled by population): of course totally arbitrary, but results not implausible and anyway the difference is small.  From 1830 to 1858, when the Empire at its full extension (after the loss of Greece), our estimate of trade at 1913 borders is 6% higher than the estimate at current borders. The adjustment to 1913 boundaries after 1918 is comparatively straightforward. We simply subtract the trade with the lost territories from total trade of Turkey (Statistical yearbook Turkey). [3] [1] Both Romania and Montenegro are border cases. Moldavia and Wallachia, which were to constitute Romania, and some areas of Montenegro enjoyed a quasi-independent status although  the Ottoman Empire did not formally relinquish its suzerainty until 1859 and 1879 respectively.  We implicitly assume that the statistical offices of the Western states, which Pamuk has used to build his series, considered the official status of these areas rather than the situation on the ground and registered trade with them in the total trade of the Empire. We have decided to not to adjust for the (formal) loss of Montenegro because it does not feature in our data-base given its small size and the total lack of data. For the same reason, we ignore the Ottoman annexation of Quatar in 1871 and the loss of the Aegean Islands to Italy in 1912. [2] We neglect the adjustment for Greece, whose independence had already been sanctioned by the Western powers and Russia in 1830, when our series for the Ottoman start. [3] We ignore the trade with the new states of the Arabic peninsula (Yemen, Saudi Arabia, Quatar Sharjah) as the Yearbook does not quote it probably because the value of the flows was negligible. We use the 1923 shares for 1922."
ASIA,Palestine and Jordan (Transjordan),"The Palestine. Statistical Yearbook (1928 and 1938) provides data at current prices, in Palestinian pounds (equal to British sterling), net of re-exports and of bullion, since 1923. It also provides data on trade with other new polities created in the territories of the former Ottoman Empire – Turkey, Syria, Iraq and the Arabian Peninsula. We obtain data for 1920-1922 from the United Kingdom (colonies) Statistical Yearbooks. For those years, we convert the data from fiscal to calendar year and we estimate re-exports and trade with former Ottoman areas as constant shares, at their 1923-1925 level. Finally, we deflate the resulting series with Federico-Tena price indexes."
ASIA,Persia (Iran),"The Persian statistics series start, as far as it is possible to ascertain from Western sources, in 1901[57]. We get the data at current prices (for years ending March 30th) from United Lingdom (foreign countries) Statistical Yearboooks. 1900-1912 and Mitchell (2007).  However, the United Kingdom Annual Statement of Trade registered trade between Persia and the United Kingdom and Entner (1965) estimates a series of trade with Russia in gold roubles.  We build an index of Persian trade as sum of these two flows and we use it to extrapolate trade backwards to 1850. We convert the the data are in local currency, kran (renamed rial after 1930s). We build a series of exchange rates from two different sources, United Lingdom (foreign countries) Statistical Yearboooks (1900-1912 p.67) for 1901-1912 and the League of Nations (1933-38) Review of World Trade for 1922-1938. We interpolate linearly the rates in 1913-1921. Finally, we deflate the series with Federico-Tena indexes."
ASIA,Philippines,"We use two different sources for our series of foreign trade of the Philippine at current prices – the book by Legarda (1997 tab. 1) who reports data from 1810 to 1895 and a working paper by Nagano (1997) for the period after 1898. We adjust the Legarda series by subtracting re-exports from imports in 1810-1820 and by interpolate the missing years (1811-1817, 1819-1824, 1826, 1832-1834, 1842, 1868-1869 ad 1871) with a TRAMO routine. We fill the gap 1896-98 with data from Mitchell.[58]   The main source is a working paper by Nagano (1997), which reports series at current prices in pesos since 1855, with few gaps. We fill these gaps and we extend the series to 1850 with a TRAMO routine. The Philippines peso was a silver currency until 1903 and pegged to dollar at a fixed rate thereafter.  We piece together a series of exchange rates using the data from Legarda (1997 tab 16 and 17), with interpolations and extrapolations, until 1903, the official parity with the dollar from 1904 to 1921 and the rates from the League of Nations (1933-38) after 1922.[59]   We deflate the export and import series with a Federico-Tena index before 1901 and with the Fisher price index by Birnberg-Resnick (1975 tab A.37) from 1902 to 1938."
ASIA,Portuguese India,"Ribero-Salgado (1939) provides series of current prices, in pound sterling net of bullion, but including re-export, after 1901, while Von Neumann Spallart (1880-1895) estimates trade in 1890-1893. However, we discard this figures as implausibly low – a mere 10% of the Ribero-Salgado ones. Thus we extrapolate the Ribeiro-Salgado series backwards to 1850 with the series for British India and we deflate the resulting series with the price indexes for British India.[60]"
ASIA,Sabah (British North Borneo),"The area, on the Northern coast of Borneo, became a British protectorate in 1888, but the United Kingdom (colonies). Statistical Yearbook (ad annum) publishes series of its imports and exports since 1884. They include bullion and re-exports and are denominated in Strait dollars until 1906. We subtract bullion and we convert the figures in pound with the official exchange rate from the Statistical Yearbook, while we do not adjust for re-exports.[61]  We deflate the series with Federico-Tena indexes. We extrapolate the level of trade at constant prices in 1884 to 1850 with a geometric mean of three index (all with 1884=1) – the trade (imports and exports) of British Malaya, the trade of Indonesia and for the growth of local population. Then, we obtain the series at current prices by reflating the data at constant prices with Federico-Tena price indexes"
ASIA,Sarawak,"Sarawak was an independent kingdom, ruled by a British dynasty, on the Northern coast of Borneo. United Kingdom (colonies) Statistical Yearboooks (ad annum) and later British Empire provides series of trade at current prices since 1883, in Strait dollars to 1906 and in pounds thereafter. We convert the data into sterling with the exchange rates from the same source and we deflate the series with Federico-Tena indexes. We obtain a series of trade at constant prices 1850-1884 by extrapolating trade in 1884 with a geometric mean of three index (all with 1884=1) – the trade (imports and exports) of British Malaya, the trade of Indonesia and for the growth of local population.  We reflate the series to get series at current prices with the same set of Federico-Tena price indexes."
ASIA,Saudi Arabia,"There are no data whatsoever on trade of Arabian peninsula, which, after the collapse of the Ottoman Empire, was divided in several tribal states (Hejaz etc.), to be formally unified only in 1932. We simply reproduce the series for North Yemen, which in 1951 had a comparable population of about 3.5 millions (Maddison 2010) and was similarly poor (the production of oil in Saudi Arabia started in 1949)."
ASIA,Siam (Thailand),"Manarungsan (1989 tab A7) reports data of trade at current prices, in baht, from 1850 onwards. We subtract 3% for exports of bullion, included in 1885-1895, and we interpolate missing data (1851-1858, 1860-1861 and 1868-1869 for imports, 1851-1863 and 1868-1869 for exports) with a TRAMO routine.  The baht was a silver currency, although until 1882 it was officially pegged to sterling at 8 baht per pound. We thus compute the exchange rate with dollar according to the silver content of the currency, valued at the US price of silver (Jastram 1980).  The official peg was abandoned in 1883 and since 1902, the baht was slowly re-valued until 1908 when it was pegged again to the pound at 13 baht/pound. In those years, we use the official exchange rate (Manarungsan 1989 tab A 12), while after 1922 we prefer to use the series of the League of Nations (1933-38) Review of World Trade.  We deflate the series at current prices with the price indexes by Birnberg and Resnick (1975 tab A. 50), which cover the period 1896-1938 for exports and 1905-1938 for imports. For imports, we extrapolate the series for imports backwards to 1865 with price series from Manarungsam (1989 tab A7) and then to 1850 with a Federico-Tena index. In contrast, from export side we use only the Federico-Tena index, as the series by Manarungsam remains suspiciously constant from 1865 to 1888. [62]"
ASIA,Sri Lanka  (Ceylon),"The series of trade at current prices, in pounds, are taken from the United Kingdom (colonies) Statistical Yearboooks (ad annum) and later  British, Empire with few adjustments and additions.  As for India, we subtract re-exports from both imports and exports with the data from the same source for 1913 and 1922-1938, while before 1912 we assume them to have accounted for 3.5% of exports (vs 3.76% in 1913). We subtract bullion from 1828 to 1850 by assuming its share to have been constant at its 1851 level.  After 1891, we deflate the series with the Fisher price indexes for imports and exports from Birnberg-Resnick (1975 tab A 5), which we extrapolate to 1850 for imports and exports and to 1825 for imports only with Federico-Tena price index. [63]"
ASIA,Syria and Lebanon,"The series from France, Statistical Yearbook 1939, reproduced by Mitchell (2007), refer to general trade from 1920 to 1935, and to special trade in 1936-1938. In those three years, special trade accounted for 72% of imports and 62% of exports and we reduce by the same percentage the data on trade.  The same source provides data on the percentage of trade with other former Ottoman territories after 1931. We assume that their shares in 1920-1929 were equal to their average in 1931-1933. We convert the data in dollar with the exchange rate of the French Franc and we deflate with Federico-Tena indexes"
ASIA,Yemen (North),"North Yemen became an independent kingdom in 1918, after the collapse of the Ottoman Empire, while the South Yemen (the area around Aden) had been a British protectorate since the 1830s. The North Yemen did not publish any record of its international trade, but the Statistical Yearbook of the British Empire reports data of trade by land of Aden. We use imports (exports) via land as proxy for total exports (imports) of North Yemen, which was likely to use the port of Aden for most of its trade.  This is clearly a very tentative assumption as Aden may have traded by land with Saudi Arabia, or North Yemen may have traded also by sea from its own ports or by land with Saudi Arabia. However, without any further information, we refrain from correcting the data. We deflate the series with the Federico-Tena index for Somaliland, which seems to have been pretty similar country to North Yemen in terms of resource endowment and level of income."
EUROPE,Albania,"Albania became independent in 1913, but foreign trade statistics are available only since 1920, from the League of Nations (1925), and Mitchell (2007). We estimate trade in 1913 by assuming it to have been equal in constant value to its level in 1920-1922 (population was 4% lower according to Maddison).  The sources quote data in “gold Francs”, which we convert in dollars before 1933 at the pre-war parity (5.18 Francs per dollar)[64]. After 1933 we adjust for the devaluation of the dollar with the series of the League ogf Nations (1933-38). We deflate the data at current prices with Federico-Tena price indexes, adjusting for changes in the gold price of pound in the 1930s (from E-net)."
EUROPE,Austria,"We obtain a series at current prices, net of bullion (“gold and silver”), for 1920 and 1922-1937 from Statistics Yearbook Austria and we interpolate it in 1921 with the figure from Mitchell (2007)[65].  The data are expressed until 1923 in gold kronen (i.e. at the pre-war gold parity with dollar) and then in shilling, which we convert in dollars with rates from Statistical Yearbook Germany (1924-5, 1926 and 1930) until1929 and from the League of Nations (1933-38) Review of World Trade after 1929.  We deflate this series at current prices with the unit values series from the United Nations (1962) for 1922-1937, which we extrapolate backwards to 1920 with a Federico-Tena price index, adjusting for the devaluation of pound sterling relative to dollar before 1925. [66] As explained in more detail in Appendix B, the adjustment of trade of successor states to their 1913 borders (i.e. to the boundaries of the defunct Austrian-Hungarian Empire) involves two distinct operations. First, we subtract trade with areas which belonged to the dual monarchy in 1913 – i.e. the total bilateral commerce with Czechoslovakia and Hungary and an estimate of trade with the former Austrian territories of Poland. This latter is assumed to account for a third of total trade between post-war Austria and Poland (coefficient α in Appendix B), according to the share of former Austrian territories on total Polish population after the war.[67]  Then we add an estimate of the trade between former Austrian territories and the rest of post-war Poland, which would have been international trade at 1913 borders.  Unfortunately, we do not have any data on domestic trade within Poland after the war. Thus, we augment the estimated bilateral trade between the rest of post war Poland and Austria  by 10% - i.e. the share of Galicia (the former Austrian territories transferred to Poland) on total Austrian GDP before the war (Schulze 2007 tab 4). However, this figure refers to the whole trade between Galicia and the three successor states: we assume that the share of Austria was equal to its percentage on the combined GDP of Austria, Hungary and Czechoslovakia (Maddison 2010).[68]  The data for 1920-1921 are missing and so we use the estimated coefficient for 1922."
EUROPE,Austria-Hungary,"The series of Austro-Hungarian trade from Mitchell (2003) cannot be used as such for two reasons. First and foremost, before 1875, the statistical office updated prices only occasionally (e.g. in 1852, 1858, 1863) and for some items only (Lampe 2005), so that the figures an unknown mix of current and constant prices. Second, the geographical coverage does not coincide with the territory of the Empire. The series data omit Dalmatia before 1880 and Bosnia-Hercegovina before 1908, although the former had belonged to the empire since the late 18th century (but for a spell of French rule under Napoleon) and the latter had been an Austrian protectorate since 1879. [69]  Therefore: i) we estimate new series of trade at constant prices from 1831 to 1913 by multiplying 1913 prices by yearly series of quantities of major commodities (Statistical yearbook Austria and Statistical Yearbook Hungary).  The set of products differs in time, accounting for 30.2% of  imports and 22.8% of exports in 1831-1840, for 39.2% and 29.4% in  1841-1850, for  42.4% and 39.2% in 1851-1872   and for 47.1% and 44.5% in 1873-1917. ii) we use the official series of trade at current prices from Mitchell for the period 1875-1913 and we extrapolate them backward to 1831 with a new index, which we obtain by multiplying the quantities times the British prices, adjusted for changes in freights. iii) We extend the series to 1830 by assuming that in that year trade was 2% lower than in 1831 and from 1913 to 1918 with the data from Schulze (2005 tab.3.21).[70] iv) We add trade of Dalmatia from 1830 to 1879, and of Bosnia-Hercegovina from 1880 to 1907, respectively as 2% and as 1.5% of total trade. [71] v) We convert the series into dollars, using before 1914 the cross-rate between sterling and (differently denominated) Austrian currency (Denzel 2010 tab 5.1) and for 1914-1918 the exchange rates from GlobalFinancialData."
EUROPE,Belgium,"Belgium became officially independent in 1830 and it started to publish trade statistics the next year. However, they overstated the amount of trade by including some transit trade. Horlings (2002) has recently published series at current and constant prices, correcting for this overvaluation, since 1835 (with a break for 1914-1918). We extrapolate his series at current prices backwards to 1831 with data from Trade Statistics Belgium (1914).  We deflate the resulting series in 1831-1835 with a linear interpolation of the implicit price indexes for import and export in 1831 and 1837 by Capelle (1938).  We assume that trade in 1830 was 5% lower than in 1831.[72] We obtain the series of exchange rates from three different sources, the GlobalFinancialData for 1831-1919 (substituting the gold parity to market exchange rates from 1861 to 1878), the German Statistic yearbook (1924-25, 1926) for 1920-1926 and the League ogf Nations (1933-38) Review of World Trade (ad annum) since 1927."
EUROPE,Bulgaria,"Bulgaria became independent after the Berlin conference in 1878. We build our series of its trade at current prices from three different sources, Mitchell (2007) for 1870-1886, the data-base by Morys and Ivanov for 1887-1919 and the League ogf Nations (1933-38), and League of Nations (1925).  This latter is the only series which explicitly excludes bullion. We convert the figures in leva into dollars with the series by Dimitrieva and Ivanov (forthcoming). It starts in 1886 and thus we extrapolate it backwards to 1879 assuming that the agio increased from zero in 1879 to 6.5% in 1886. We deflate the resulting series at current prices with a Federico-Tena index. [73]"
EUROPE,Crete,"We consider Crete as an independent polity as it was an international protectorate from 1898 to December 1913, after having been a Turkish province and before being annexed to Greece.  Indeed, the United Kingdom (foreign countries) Yearbook (1912) publishes series of trade for 1901-1911 in pound sterling. We extend them back to 1898 and forward to 1913 assuming trade to have been constant at the level of 1901 and 1911. We deflate imports with an average of the indexes for Greece and Cyprus, and exports with the price of olive oil, the sole staple of the island."
EUROPE,Cyprus,"Cyprus became a British protectorate after the treaty of Berlin (1878), but the Statistic Yearbook British Empire (ad annum) publishes trade data only since 1883-1884. We extrapolate the series to1880-1881 with the figures by Mitchell (2007), inclusive of bullion, and then to 1878-1879, assuming arbitrarily that trade was growing at 10% per year, as in the early 1880s.  We subtract re-exports, with data from the United Kingdom (foreign countries) Yearbook: we estimate the missing years (1879-1912 and 1914-1921) as 4% of exports in the same year.  Finally, we deflate the series with Federico-Tena price indexes"
EUROPE,Czechoslovakia,"We obtain data at current prices (excluding bullion and precious metals, but including improvement) from 1922 to 1936 from Statistics Yearbook Czechoslovakia 1936, while the figures for 1937 are from Mitchell (2007).  We estimate trade at 1913 borders with the procedure outlined for Austria, with data on trade with Austria, Hungary and Poland from Statistics Yearbook Czechoslovakia (1936). Then we convert the Koruna into dollars with the series from the Statistical yearbook Germany (1924-1925, 1926, 1930) until 1929 and with the League of Nations (1933-38) from 1930 to 1939.   The League of Nations (1938) publishes official indexes of prices of imports, 1923-1937, and exports, 1923-1932. We extrapolate forward this latter to 1937 and both indexes backwards to 1913 with Federico-Tena price indexes."
EUROPE,Denmark,"Johansen, in his well-known collection of Danish historical statistics (1985, pp.186-189), reports series of trade at current prices, in kroner, since 1818 for exports and since 1841 for imports. [74] We piece together a series of exchange rate of the Danish currency (called rigsdaler until 1874) with dollar  from 1848 onwards by joining a cross rate with sterling from Denzel (2010 tab.9.1)  until 1913, and the direct rates from GlobalFinancialdata, for 1914-1919, Statistical Yearbook Germany (1924-1925, 1930) for 1920-1929  and League of Nations, Review (ad annum) for 1930-1938. We extrapolate the series from 1848 to 1818 with the exchange rate with the Hamburg Banko, a silver-based currency (Denzel 2010 tab. 9.1) times the price of silver in the United States (Jastram 1981 tab.15). The series are then deflated with the price indexes for import and export from Johansen (1985 pp.216)."
EUROPE,Estonia,"We take the series of trade at current prices, in millions kroon, from League of Nations (1925), Memorandum on International Trade and Balance of Payments for 1920-1922 and from Trade statistics. Estonia (1938)  for 1923-1938. We convert into dollars with exchange rates from Statistic Yearbook Germany (1924-1925, 1926 and 1940) for 1921-1929 and then to 1938 from the League of Nations (1935 and 1938). [75] As Estonia before 1913 was entirely within the borders of the Russian Empire, we compute its trade at 1913 borders by subtracting trade with Latvia, Lithuania, the Soviet Union and the former Russian territories of Poland according to Trade Statistics. Estonia  (1938).[76]  We deflate the series with official indexes of import and export prices, 1925-1938 (the League of Nations (1933-38), which we extrapolate backwards to 1913 with Federico-Tena indexes"
EUROPE,Finland,"Since 1809, Finland was a Grand-duchy, with the Russian Emperor as Grand duke. Indeed, Mitchell (2007) reports series of trade at current prices in markka since 1812, which after 1859 coincides with the series available in the standard estimate of Finnish national accounts (Hjerrpe 1996 pp.141-143).  Since 1864 we convert the markka into dollar with rates from Autio (1992).  The markka had replaced the rouble as currency in Finland four years earlier, at a fixed ratio. We hypothesize that Mitchell’s series were originally in roubles and thus we extrapolate backwards our exchange rate from 1864 to 1812 with the gold content of paper rouble by Mironov.[77] We deflate the resulting series with the price indexes from Hjerppe (1996). The series starts in 1860 for exports and in 1865 for imports: we extrapolate backwards exports to 1812 and imports to 1850 with Federico-Tena price indexes."
EUROPE,France,"France started to collect trade statistics well before 1800, but the retrospective section of the Statistical Yearbooks (1951 pp.189*-190*) publishes a complete series only since 1827. We extend it to 1800 with the series from Levasseur (1911 vol.II pp.100 and 148), which are identical to the figures in Mitchell (2007).  From 1827 to 1846, trade was evaluated on the basis of 1826 prices (“valeurs officielles”), as stated by an ""ordonnance royale de 1826"" (Trade Statistics. France 1827-1836 and 1847-1856  p.XIV) . The data exclude bullion throughout the period, but they include transit before 1824 and  exclude improvement  trade from 1857 to 1929 (White 1933 p. 36, Trade Statistics France 1930  fn 1 p.18). [78] Thus, in order to obtain consistent series of French trade at current and constant prices: i) we estimate transit before 1824 as a fifth of general trade, according to the ratio special/general trade in 1825-1830 (0.76 for imports and 0.83 for exports) and we subtract this estimate from the available figures ii) we add improvement trade from 1857 to 1929, with data from Trade Statistics France (1857-1866, 1867-1876 and 1877-1886 and 1914-1929) and White (1933 p.36). iii) we deflate data 1800-1826 and we reflate before 1847, with Federico-Tena indexes.[79] iv) we deflate the official series at current prices from 1847 onwards. To this aim, we could use the price indexes by Levy-Leboyer (1970) for 1809-1925, Flux (1900) for 1847-1898, de Foville (1912) for 1881-1910, White (1933 pp. 232-233) for 1880-1913, Villa (1993 p.445) for 1896-1938 and the official French trade statistics from 1923 to 1938 (League of Nations (1933-38). Table 1 reports the pairwise coefficients of correlation between these series, when they overlap (coefficients for imports in italics). v) we convert the data in Francs into dollars with a new series of exchange rates, which we piece together with data from Denzel (2010), tab 6 for 1800-1913 (using the cross-rate with the pound in 1800-1878, and interpolating some years with a TRAMO routine), GlobalFinancialData for 1914-1919, Statistical Yearbook. Germany (1924-1925, 1926 and 1930) for 1920-1929  and from the League ogf Nations (1933-38) from 1930 to 1938."
EUROPE,Table 1,"The coefficients are quite high between all pairs, which do not include the series by Villa (1993).[80] This latter is also poorly correlated with the official series in 1923-1938 (0.22 for imports and 0.21 for exports). Thus we use the series by Levy-Leboyer (1970), the longest one, from 1847 to 1925 and we extrapolate them to 1938 with the official series."
